"name","category","description"
"Crispy Veg Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Crispy Veg Double Patty Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Crispy Chicken Double Patty Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Premium Family Feast for 4 - Chicken","Family Feast for 4 ( Save upto 37%)","Save Rs. 200 | Chicken Whopper + Fiery Chicken + Crispy Chicken + Chicken Crunchy Taco + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake"
"Classic Family Feast for 4 - Veg","Family Feast for 4 ( Save upto 37%)","Save Rs. 200 | 2 Crispy Veg + BK Veggie + Veg Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake"
"Veg Whopper","Whopper","Our signature Whopper with 7 layers between the buns. Extra crunchy veg patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium buns. Swaad Aisa, India Jaisa."
"Chicken Whopper","Whopper","Our signature Whopper with 7 layers between the buns. Flame-Grilled chicken patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium glazed buns. Swaad Aisa, India Jaisa."
"Crispy Veg Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Veg Patty, Fresh Onion And Our Signature Sauce"
"Crispy Veg Double Patty Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Veg Double Patty, Fresh Onion And Our Signature Sauce"
"Crispy Chicken Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Chicken Patty, Onion And Classic Mayo Sauce"
"Crispy Chicken Double Patty Burger","Burgers & Wraps","Our Best-Selling Burger With Crispy Chicken Double Patty, Onion And Classic Mayo Sauce"
"Hot 'N' Saucy Burger","Kings Premium Burgers","Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy."
"Fiery Chicken Burger","Kings Premium Burgers","Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening."
"Crispy Veg Double Patty + Crispy Veg Double Patty","Burger Doubles.","Two Crispy Veg Double Patty"
"Veg Makhani Burst + Whopper Jr Veg","Burger Doubles.","Veg Makhani Burst + Lite Whopper Jr Veg"
"4 Crispy Veg + 2 Medium Fries","Friends & Family Combo (Save upto 20%)",
"Medium Fries","Sides","The Perfect Crispy Partner"
"King Fries","Sides","The Perfect Crispy Partner"
"King Peri Peri Fries","Sides","Crispy Fries With Peri Peri Spice. Hot Indeed"
"Chocolate Thick Shake","Beverages","Our Signature Chocolate Thick Shake"
"Crispy Veg Burger + Fries (Reg) + Soft Drink","Crispy Meal Deals (Save upto 47%)","Save 47% | Crispy Veg Burger + Fries (Reg) + Soft Drink"
"Crispy Chicken Burger + Fries (Reg) + Soft Drink","Crispy Meal Deals (Save upto 47%)","Save 38% | Crispy Chicken Burger + Fries (Reg) + Soft Drink"
"Fiery Chicken Wrap+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Paneer Royale Wrap+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Hot 'N' Saucy Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Fiery Chicken Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Paneer Royale Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Chicken Tandoori+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Whopper Jr Chicken+Fries(Reg)","Burger+Fries (Save upto 15%)",
"BK Chicken Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Whopper Jr Veg+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Veg Whopper+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Chicken Whopper+Fries(Reg)","Burger+Fries (Save upto 15%)",
"BK Veggie Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Crispy Chicken Double Patty Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Crunchy Chicken Taco+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Chicken Makhani Burst Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Crispy Veg Double Patty Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Crispy Chicken Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Veg Crunchy Taco+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Veg Makhani Burst Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Crispy Veg Burger+Fries(Reg)","Burger+Fries (Save upto 15%)",
"Crispy Veg Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Veg Crunchy Taco+Fries(M)","Burger+Fries (Save upto 15%)",
"Crispy Chicken Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Crispy Veg Double Patty Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Crunchy Chicken Taco+Fries(M)","Burger+Fries (Save upto 15%)",
"BK Veggie Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Crispy Chicken Double Patty Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"BK Chicken Burger+Fries(M)","Burger+Fries (Save upto 15%)",
"Whopper Jr Veg+Fries(M)","Burger+Fries (Save upto 15%)",
"Veg Whopper+Fries(M)","Burger+Fries (Save upto 15%)",
"Paneer Royale Wrap+Fries(M)","Burger+Fries (Save upto 15%)",
"Chicken Whopper+Fries(M)","Burger+Fries (Save upto 15%)",
